Serial,OPEID,InstitutionName,Address,City,ST,Zip,BwrsWhoEnteredRepayment Status,BwrsInDefault,CohortDefaultRate,TotalBwrsInDefault,TotalPrincipalOutstandingOnLoansInDefault
005391,00743000,Antonelli Institute,300 Montgomery Avenue,Erdenheim,PA,19038-8242,23,3,13.04%,57,106431                                                                                                                                                   
003541,00323500,Arcadia University,450 South Easton Road,Glenside,PA,19038-3295,46,14,30.43%,167,238785                                                                                                                                                   
005247,00835000,Art Institute of Philadelphia (The),1622 Chestnut Street,Philadelphia,PA,19103-5198,80,36,45%,1093,1111479                                                                                                                                
003539,00747000,Art Institute of Pittsburgh (The),420 Boulevard of the Allies,Pittsburgh,PA,15219-1301,104,18,17.31%,421,747051                                                                                                                           
003542,00331500,Bloomsburg University of Pennsylvania,400 East Second Street,Bloomsburg,PA,17815-1301,62,11,17.74%,440,956158                                                                                                                             
003543,00972100,Bradford School,125 W Station Square Drive,Pittsburgh,PA,15219-2602,105,15,14.29%,106,276176                                                                                                                                              
003544,00323700,Bryn Mawr College,101 North Merion Avenue,Bryn Mawr,PA,19010-2899,111,3,2.7%,49,202306                                                                                                                                                    
003545,00323800,Bucknell University,Moore Avenue,Lewisburg,PA,17837-2122,183,7,3.83%,85,319576                                                                                                                                                            
003546,00323900,Bucks County Community College,275 Swamp Road,Newtown,PA,18940-1320,6,2,33.33%,68,67643                                                                                                                                                   
003549,00324100,Cabrini College,610 King of Prussia Road,Radnor,PA,19087-3698,69,13,18.84%,122,189359                                                                                                                                                     
003550,00331600,California University of Pennsylvania,250 University Avenue,California,PA,15419-1394,123,26,21.14%,456,771923                                                                                                                             
003552,00330300,Carlow University,3333 Fifth Avenue,Pittsburgh,PA,15213-3165,130,17,13.08%,217,230412                                                                                                                                                     
003553,00324200,Carnegie Mellon University,5000 Forbes Avenue,Pittsburgh,PA,15213-3890,346,16,4.62%,368,1082328                                                                                                                                           
003554,00324300,Cedar Crest College,100 College Drive,Allentown,PA,18104-6196,48,15,31.25%,51,54462                                                                                                                                                       
003556,00324400,Chatham University,Woodland Road,Pittsburgh,PA,15232-2826,39,10,25.64%,109,203684                                                                                                                                                         
003557,00324500,Chestnut Hill College,9601 Germantown Avenue,Philadelphia,PA,19118-2693,113,40,35.4%,134,189544                                                                                                                                           
003558,00331700,Cheyney University of Pennsylvania,1837 University Circle,Cheyney,PA,19319-0200,7,4,57.14%,246,203930                                                                                                                                     
003560,00331800,Clarion University of Pennsylvania,840 Wood Street,Clarion,PA,16214-1232,43,8,18.6%,54,131968                                                                                                                                             
003532,00398600,DeSales University,2755 Station Avenue,Center Valley,PA,18034-9568,80,11,13.75%,65,213209                                                                                                                                                 
003571,00325200,Delaware Valley College of Science & Agriculture,700 East Butler Avenue,Doylestown,PA,18901-2697,193,19,9.84%,350,513965                                                                                                                  
003572,00325300,Dickinson College,College and Louther Streets,Carlisle,PA,17013-2896,155,6,3.87%,96,348823                                                                                                                                                
003574,00325600,Drexel University,3141 Chestnut Street,Philadelphia,PA,19104-2875,1001,97,9.69%,1309,2312053                                                                                                                                              
003577,00325800,Duquesne University of the Holy Spirit,600 Forbes Avenue,Pittsburgh,PA,15282-0001,872,51,5.85%,679,725476                                                                                                                                 
003578,00332000,East Stroudsburg University of Pennsylvania,200 Prospect Street,East Stroudsburg,PA,18301-2999,93,23,24.73%,241,574053                                                                                                                    
003579,00325900,Eastern University,1300 Eagle Road,St Davids,PA,19087-3696,178,24,13.48%,288,307896                                                                                                                                                       
003580,00332100,Edinboro University of Pennsylvania,Meadville Street,Edinboro,PA,16444-0001,117,29,24.79%,497,586886                                                                                                                                      
003582,00326200,Elizabethtown College,1 Alpha Drive,Elizabethtown,PA,17022-2298,122,4,3.28%,45,58889                                                                                                                                                      
003589,00326500,Franklin & Marshall College,617 College Avenue,Lancaster,PA,17603-2802,122,7,5.74%,88,264103                                                                                                                                              
003591,00326600,Gannon University,109 University Square,Erie,PA,16541-0001,43,7,16.28%,150,371329                                                                                                                                                         
003593,00326700,Geneva College,3200 College Avenue,Beaver Falls,PA,15010-3599,189,13,6.88%,198,301875                                                                                                                                                     
003594,00326800,Gettysburg College,300 North Washington Street,Gettysburg,PA,17325-1486,67,2,2.99%,12,33495                                                                                                                                               
003596,00327000,Gwynedd Mercy University,1325 Sumneytown Pike,Gwynedd Valley,PA,19437-0901,29,2,6.9%,44,84769                                                                                                                                             
003598,00327200,Harcum College,750 Montgomery Avenue,Bryn Mawr,PA,19010-3476,32,4,12.5%,235,371313                                                                                                                                                        
003601,00327400,Haverford College,370 Lancaster Avenue,Haverford,PA,19041-1392,67,5,7.46%,14,49058                                                                                                                                                        
003602,00327500,Holy Family University,9801 Frankford Avenue,Philadelphia,PA,19114-2094,161,20,12.42%,245,213551                                                                                                                                          
003603,00327600,Immaculata University,King Road,Immaculata,PA,19345-0647,43,9,20.93%,98,159837                                                                                                                                                            
003604,00327700,Indiana University of Pennsylvania,201 Sutton Hall,Indiana,PA,15705-1097,835,72,8.62%,1079,1440685                                                                                                                                        
003611,00327900,Juniata College,1700 Moore Street,Huntingdon,PA,16652-2196,119,9,7.56%,62,89143                                                                                                                                                           
003715,00491000,Kaplan Career Institute,5650 Derry Street,Harrisburg,PA,17111-3571,30,7,23.33%,49,50716                                                                                                                                                   
